Results from GENEPOP WWW
Wed Nov 30 06:22:25 AWST 2022

Option 2 - Linkage Disequilibrium
Suboption 1 - each pair loci in each population

------------------------------------------------------------

Genepop 4.7.5, Genotypic linkage disequilibrium

File: /web/genepop/tmp/062021/062021 (Curvina_golfina)

Number of populations detected : 1
Number of loci detected        : 15

Markov chain parameters
        Dememorisation       : 1000
        Batches              : 1000
        Iterations per batch : 10000

Pop             Locus#1  Locus#2    P-Value      S.E.     Switches
Co17-82         Cac14    Cyne20     0.584625     0.011466    72400
Co17-82         Cac18    Cyne20     0.742345     0.008985   104233
Co17-82         Cyne02   Soc418     0.446874     0.011802    78259
Co17-82         Cac03    Soc418     0.361814     0.009528   151577
Co17-82         Tmac03   Soc418     0.998601     0.000373   109501
Co17-82         Tmac06   Soc418     0.497631     0.005266   386159
Co17-82         Cyne12   Soc418     0.595827     0.010561   110870
Co17-82         Cac13    Soc418     0.508454     0.011496    91108
Co17-82         Cac14    Soc418     0.982452     0.002038   128272
Co17-82         Cac18    Soc418     0.460198     0.008910   198084
Co17-82         Cyne20   Soc418     0.781091     0.004812   269643
Co17-82         Cyne02   Soc423     0.593717     0.003803  1025701
Co17-82         Cac03    Soc423     0.256749     0.002814  1379982
Co17-82         Tmac03   Soc423     0.131984     0.002345  1187825
Co17-82         Tmac06   Soc423     0.393439     0.001702  1955643
Co17-82         Cyne12   Soc423     0.815891     0.002481  1195856
Co17-82         Cac13    Soc423     0.125462     0.002580  1087915
Co17-82         Cac14    Soc423     0.775923     0.002906  1255728
Co17-82         Cac18    Soc423     0.689190     0.002523  1533729
Co17-82         Cyne20   Soc423     0.550458     0.001921  1594237
Co17-82         Soc418   Soc423     0.946728     0.000516  2343795
Co17-82         Cyne02   Soc554     0.964491     0.005732     3667
Co17-82         Cac03    Soc554     0.569676     0.014714    11378
Co17-82         Tmac03   Soc554     0.530370     0.015192     6277
Co17-82         Tmac06   Soc554     0.989260     0.001861   104494
Co17-82         Cyne12   Soc554     0.254789     0.013413     6291
Co17-82         Cac13    Soc554     0.638370     0.014834     4815
Co17-82         Cac14    Soc554     0.341153     0.014279     9556
Co17-82         Cac18    Soc554     0.656025     0.013530    18196
Co17-82         Cyne20   Soc554     0.983443     0.002511    63441
Co17-82         Soc418   Soc554     0.139099     0.007404   109786
Co17-82         Soc423   Soc554     0.679972     0.003722  1170636
Co17-82         Cyne02   Soc609     0.705831     0.013408    12904
Co17-82         Cac03    Soc609     0.559198     0.013557    33029
Co17-82         Tmac03   Soc609     0.500885     0.014152    20660
Co17-82         Tmac06   Soc609     0.328070     0.008204   170407
Co17-82         Cyne12   Soc609     0.241147     0.011816    20901
Co17-82         Cac13    Soc609     0.451707     0.014284    16044
Co17-82         Cac14    Soc609     0.435501     0.013782    27401
Co17-82         Cac18    Soc609     0.502302     0.012903    49260
Co17-82         Cyne20   Soc609     0.520469     0.010145   109726
Co17-82         Soc418   Soc609     0.094752     0.004797   206558
Co17-82         Soc423   Soc609     0.083004     0.001383  1550905
Co17-82         Soc554   Soc609     0.392371     0.013296    22413
Co17-82         Cyne02   Soc800     0.522349     0.010884   105328
Co17-82         Cac03    Soc800     0.636871     0.009002   179697
Co17-82         Tmac03   Soc800     0.531326     0.010036   137594
Co17-82         Tmac06   Soc800     0.974238     0.001026   389932
Co17-82         Cyne12   Soc800     0.016247     0.002010   138395
Co17-82         Cac13    Soc800     0.072032     0.005182   117927
Co17-82         Cac14    Soc800     0.764489     0.008023   155227
Co17-82         Cac18    Soc800     0.150425     0.005633   220021
Co17-82         Cyne20   Soc800     0.031176     0.001687   280008
Co17-82         Soc418   Soc800     0.887261     0.002674   492427
Co17-82         Soc423   Soc800     0.845398     0.000950  2209766
Co17-82         Soc554   Soc800     0.926331     0.004787   137257
Co17-82         Soc609   Soc800     0.435809     0.008342   227898
Co17-82         Cyne02   Soc904     0.099879     0.009460     1607
Co17-82         Cac03    Soc904     0.985641     0.003553     5512
Co17-82         Tmac03   Soc904     1.000000     0.000000     2786
Co17-82         Tmac06   Soc904     0.808612     0.008660    81180
Co17-82         Cyne12   Soc904     1.000000     0.000000     2882
Co17-82         Cac13    Soc904     1.000000     0.000000     2147
Co17-82         Cac14    Soc904     0.619049     0.015071     4607
Co17-82         Cac18    Soc904     0.223800     0.012447     9499
Co17-82         Cyne20   Soc904     0.359255     0.011894    48004
Co17-82         Soc418   Soc904     0.442865     0.011826    75569
Co17-82         Soc423   Soc904     0.886787     0.002223  1009643
Co17-82         Soc554   Soc904     0.771108     0.013075     3565
Co17-82         Soc609   Soc904     0.663765     0.014065    12287
Co17-82         Soc800   Soc904     0.114697     0.006453   101990

Normal ending.
